"Commande_key","Code_commande","Statut_commande","Mode_paiement","Methode_livraison","Frais_livraison","Remise_panier","Montant_total"
414,"13555","Terminée","Pay in Person","Livraison à domicile","8","0","103"
417,"13566","Terminée","Pay in Person","Livraison à domicile","8","0","8"
419,"13564","Terminée","Pay in Person","Livraison à domicile","8","0","18"
422,"13563","Terminée","Pay in Person","Livraison à domicile","8","0","8"
425,"13561","Terminée","Pay in Person","Livraison à domicile","8","0","13"
427,"13560","Terminée","Pay in Person","Livraison à domicile","8","0","8"
428,"13559","Terminée","Non renseigné","Expédition","8","0","58"
429,"13558","Terminée","Pay in Person","Livraison à domicile","8","0","98"
430,"13557","Terminée","Wallet payment","Livraison à domicile","8","0","68"
432,"13556","Terminée","Pay in Person","Livraison à domicile","8","0","94"
436,"13554","Terminée","Pay in Person","Livraison à domicile","8","0","10"
437,"13553","Terminée","Pay in Person","Livraison à domicile","8","0","8"
441,"13552","Terminée","Pay in Person","Livraison à domicile","8","0","12"
444,"13551","Terminée","Wallet payment","Livraison à domicile","8","0","94"
445,"13550","Terminée","Pay in Person","Livraison à domicile","8","0","98"
446,"13548","Terminée","Pay in Person","Livraison à domicile","8","0","38"
447,"13547","Terminée","Pay in Person","Livraison à domicile","8","0","8"
449,"13546","Terminée","Pay in Person","Livraison à domicile","8","0","8"
450,"13545","Terminée","Pay in Person","Livraison à domicile","8","0","37"
451,"13544","Terminée","Pay in Person","Livraison à domicile","8","0","98"
452,"13538","Terminée","Non renseigné","Livraison à domicile","8","0","0"
453,"13537","Terminée","Pay in Person","Livraison à domicile","8","0","38"
454,"13536","Terminée","Pay in Person","Livraison à domicile","8","0","57,9"
455,"13535","Terminée","Pay in Person","Livraison à domicile","0","0","60"
458,"13534","Terminée","Non renseigné","Livraison à domicile","8","0","0"
459,"13532","Terminée","Wallet payment","Livraison à domicile","8","0","57,9"
460,"13531","Terminée","Wallet payment","Livraison à domicile","8","0","68"
462,"13530","Terminée","Pay in Person","Livraison à domicile","8","0","123"
464,"13528","Terminée","Pay in Person","Livraison à domicile","8","0","8"
466,"13527","Terminée","Wallet payment","Livraison à domicile","8","0","98"
467,"13526","Terminée","Pay in Person","Expédition","8","0","33"
468,"13525","Terminée","Non renseigné","Expédition","8","0","33"
469,"13523","Terminée","Pay in Person","Livraison à domicile","8","0","28"
